time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/entropy_loss,train/policy_loss,train/learning_rate,train/n_updates
720896,0.6719166040420532,0.37629711627960205,1.6558183431625366,296,88,38.06,0.22116416,2429,-0.5081586837768555,-0.11551566421985626,0.00017576806400000002,87
753664,0.7053572833538055,0.33677390217781067,1.9284040927886963,297,92,39.63,0.21985344,2532,-0.5064895153045654,-0.11224666237831116,0.00017465395200000003,91
786432,0.6991320252418518,0.36313021183013916,1.7615851163864136,298,96,36.16,0.21854272,2632,-0.5056339502334595,-0.11082717776298523,0.00017353984,95
819200,0.6784031391143799,0.391093373298645,2.0114939212799072,299,100,36.11,0.21723199999999998,2738,-0.48872312903404236,-0.11180773377418518,0.00017242572800000002,99
851968,0.7911978363990784,0.23113776743412018,2.2164108753204346,300,104,38.6,0.21592128,2838,-0.48204752802848816,-0.10886508971452713,0.000171311616,103
884736,0.7617191970348358,0.25784575939178467,2.2970943450927734,300,108,40.88,0.21461056,2939,-0.4820611774921417,-0.10679740458726883,0.000170197504,107
917504,0.7783919870853424,0.257480263710022,2.261030673980713,301,112,39.62,0.21329984,3044,-0.4770176410675049,-0.1304692178964615,0.000169083392,111
950272,0.8524467498064041,0.1791360229253769,2.483607053756714,301,116,40.43,0.21198912,3149,-0.4650365114212036,-0.12153759598731995,0.00016796928,115
983040,0.8165595382452011,0.21271935105323792,2.5401833057403564,302,120,43.23,0.2106784,3253,-0.45494818687438965,-0.12366452813148499,0.00016685516800000002,119
1015808,0.8643141537904739,0.1635918915271759,2.498807191848755,302,124,41.78,0.20936768,3354,-0.45170336961746216,-0.11514151096343994,0.000165741056,123
1048576,0.8837703242897987,0.15106052160263062,2.674224615097046,303,128,41.68,0.20805696,3456,-0.4325580298900604,-0.13418787717819214,0.00016462694400000001,127
1081344,0.8579003363847733,0.16503870487213135,2.766416311264038,304,132,42.18,0.20674624,3555,-0.4115246832370758,-0.1264093816280365,0.000163512832,131
1114112,0.8779176399111748,0.14730210602283478,2.70709228515625,304,136,40.73,0.20543551999999998,3656,-0.4184415936470032,-0.14317403733730316,0.00016239872,135
1146880,0.8985484093427658,0.1294969618320465,2.8912408351898193,305,140,41.19,0.2041248,3757,-0.39768660068511963,-0.14364394545555115,0.00016128460800000002,139
1179648,0.9065897688269615,0.11171543598175049,3.081972599029541,305,144,40.81,0.20281408,3861,-0.3755299746990204,-0.14162741601467133,0.000160170496,143
1212416,0.9199629873037338,0.10494807362556458,3.1468758583068848,305,148,40.48,0.20150336,3962,-0.3515428602695465,-0.13940539956092834,0.00015905638400000001,147
1245184,0.9335772097110748,0.07665931433439255,3.218560218811035,306,152,38.69,0.20019264,4063,-0.3493938744068146,-0.1425870656967163,0.000157942272,151
1277952,0.9398463033139706,0.06771284341812134,3.0512194633483887,306,156,40.06,0.19888192,4169,-0.3468836545944214,-0.1539464145898819,0.00015682816,155
1310720,0.943417988717556,0.06926438212394714,3.125580072402954,306,160,37.41,0.1975712,4269,-0.33612605929374695,-0.15184003114700317,0.00015571404800000002,159
1343488,0.9527038112282753,0.043864909559488297,3.2487027645111084,307,164,38.33,0.19626048000000001,4374,-0.3249351680278778,-0.14840686321258545,0.000154599936,163
1376256,0.9574552588164806,0.05113770067691803,3.2052502632141113,307,168,38.22,0.19494976,4481,-0.32022953033447266,-0.1407933235168457,0.000153485824,167
1409024,0.9620299749076366,0.039289236068725586,3.296945810317993,307,172,37.84,0.19363903999999998,4588,-0.30131080746650696,-0.15126891434192657,0.00015237171200000002,171
1441792,0.9453973919153214,0.05523744598031044,3.324596881866455,307,176,35.83,0.19232832,4694,-0.2894464135169983,-0.1653279960155487,0.0001512576,175
1474560,0.9649345651268959,0.03594476357102394,3.2962279319763184,307,180,36.39,0.1910176,4799,-0.27525562047958374,-0.1424838751554489,0.00015014348800000002,179
1507328,0.9617777653038502,0.040775567293167114,3.357290744781494,307,184,35.56,0.18970688,4906,-0.27760329842567444,-0.1352354884147644,0.00014902937600000003,183
