train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/policy_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,time/iterations,train/learning_rate,train/explained_variance
539,-6.0755839347839355,1909,0.1780790857142857,0.017662925645709038,829440,58.71,434,-0.8226512670516968,0.8893189430236816,540,0.000270432,-0.2793058156967163
559,-6.465387344360352,1983,0.1772672,0.004504850599914789,860160,69.62,433,-0.8223785161972046,0.9966500997543335,560,0.0002693348571428571,-0.39452242851257324
579,-6.882298469543457,2057,0.1764553142857143,0.019419150426983833,890880,68.84,432,-0.820713222026825,0.7579941153526306,580,0.00026823771428571424,-0.41877150535583496
599,-6.732916831970215,2126,0.1756434285714286,0.023443952202796936,921600,73.52,433,-0.8276426792144775,0.7846236228942871,600,0.0002671405714285714,-0.09469568729400635
619,-6.162438869476318,2200,0.17483154285714286,0.015388352796435356,952320,57.89,432,-0.8211135864257812,1.0323829650878906,620,0.00026604342857142855,-0.3193964958190918
639,-6.352591514587402,2272,0.17401965714285716,0.008787451311945915,983040,69.41,432,-0.8242424726486206,0.7188465595245361,640,0.0002649462857142857,-0.2121189832687378
659,-6.018510818481445,2345,0.17320777142857144,0.0177342239767313,1013760,62.8,432,-0.8200658559799194,0.8264740705490112,660,0.0002638491428571428,-0.6017011404037476
679,-6.555299758911133,2416,0.1723958857142857,0.0225378330796957,1044480,68.12,432,-0.8233744502067566,0.75855553150177,680,0.00026275199999999994,-0.6596051454544067
699,-5.5018768310546875,2490,0.17158400000000001,0.024914424866437912,1075200,58.22,431,-0.8214496970176697,0.7846190333366394,700,0.0002616548571428571,-0.19456636905670166
719,-5.914651870727539,2562,0.1707721142857143,0.011247220449149609,1105920,63.19,431,-0.8186496496200562,0.6442283987998962,720,0.00026055771428571425,0.1182016134262085
739,-6.1516876220703125,2634,0.1699602285714286,0.024105001240968704,1136640,62.44,431,-0.8175522685050964,0.8972954750061035,740,0.0002594605714285714,-0.4120922088623047
759,-6.606499671936035,2707,0.16914834285714286,0.009667704813182354,1167360,69.56,431,-0.8322235941886902,0.6431915163993835,760,0.00025836342857142857,0.02613776922225952
779,-5.775484561920166,2779,0.16833645714285717,0.028221890330314636,1198080,56.97,431,-0.8148095011711121,0.9992445707321167,780,0.0002572662857142857,-0.4630211591720581
799,-6.7396039962768555,2850,0.16752457142857144,0.008640828542411327,1228800,69.48,431,-0.8170170783996582,0.9660656452178955,800,0.00025616914285714283,-0.4084829092025757
819,-5.272902965545654,2921,0.1667126857142857,0.017071779817342758,1259520,54.74,431,-0.8225178718566895,0.7543593645095825,820,0.00025507199999999996,-0.08346176147460938
839,-5.936778545379639,2994,0.16590080000000001,0.014958245679736137,1290240,61.62,430,-0.829004168510437,0.7716549634933472,840,0.00025397485714285714,-0.29437458515167236
859,-8.725024223327637,3068,0.1650889142857143,0.00040861591696739197,1320960,91.35,430,-0.8386005163192749,0.8590232729911804,860,0.0002528777142857142,-0.42974042892456055
879,-7.238218784332275,3138,0.1642770285714286,0.020078692585229874,1351680,73.46,430,-0.8233043551445007,0.7835056781768799,880,0.0002517805714285714,-0.09392452239990234
