train/entropy_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/value_loss,train/learning_rate,time/iterations,train/policy_loss,train/explained_variance
-0.26651960611343384,768000,463,1499,1656,349.49,1.888,17.17957305908203,3.99541974067688,0.0003,1500,0.03400404751300812,-2.205371856689453e-05
-0.2595909535884857,819200,464,1599,1765,397.18,1.8805333333333334,18.424741744995117,2.4017882347106934,0.0003,1600,0.007422620430588722,4.476308822631836e-05
-0.25691282749176025,870400,464,1699,1873,402.7,1.8730666666666667,18.118837356567383,3.205798864364624,0.0003,1700,0.0382615327835083,-2.8014183044433594e-05
-0.2766214609146118,921600,465,1799,1981,397.23,1.8656,18.764524459838867,2.2590065002441406,0.0003,1800,0.025159377604722977,-7.712841033935547e-05
-0.24030479788780212,972800,465,1899,2089,406.77,1.8581333333333334,18.550025939941406,2.714137554168701,0.0003,1900,0.027305137366056442,-4.363059997558594e-05
-0.2749539017677307,1024000,465,1999,2199,415.84,1.8506666666666667,19.021883010864258,8.28459358215332,0.0003,2000,0.07241984456777573,-9.417533874511719e-06
-0.2578848600387573,1075200,465,2099,2309,423.38,1.8432,19.087697982788086,3.449720859527588,0.0003,2100,0.02325008437037468,3.4689903259277344e-05
-0.27452296018600464,1126400,465,2199,2419,438.52,1.8357333333333332,18.8067569732666,2.7659225463867188,0.0003,2200,0.02017178200185299,-0.0001004934310913086
-0.24859841167926788,1177600,465,2299,2527,439.22,1.8282666666666667,19.819971084594727,2.967560052871704,0.0003,2300,0.020826568827033043,-1.0728836059570312e-05
-0.2601650059223175,1228800,465,2399,2638,373.56,1.8208,16.793054580688477,4.231189250946045,0.0003,2400,0.01200982928276062,3.68952751159668e-05
-0.26222309470176697,1280000,466,2499,2746,435.86,1.8133333333333332,18.7651309967041,4.024226188659668,0.0003,2500,0.022875944152474403,-3.9458274841308594e-05
-0.2792772054672241,1331200,466,2599,2855,435.41,1.8058666666666667,18.55211067199707,5.499015808105469,0.0003,2600,0.02326781302690506,3.1054019927978516e-05
-0.2582482099533081,1382400,466,2699,2964,435.8,1.7984,17.90300178527832,3.2066490650177,0.0003,2700,0.01904277689754963,-2.9325485229492188e-05
-0.23982954025268555,1433600,466,2799,3074,407.49,1.7909333333333333,18.176986694335938,2.6927597522735596,0.0003,2800,0.046843282878398895,-4.4345855712890625e-05
-0.2820345163345337,1484800,466,2899,3182,374.83,1.7834666666666668,17.425731658935547,1.828772783279419,0.0003,2900,0.0012124176137149334,-7.522106170654297e-05
-0.2746821343898773,1536000,466,2999,3293,378.86,1.776,17.256689071655273,1.3815865516662598,0.0003,3000,0.0063728331588208675,-5.245208740234375e-06
-0.27409374713897705,1587200,466,3099,3401,349.25,1.7685333333333333,16.982322692871094,4.79313850402832,0.0003,3100,0.04799426347017288,-4.494190216064453e-05
-0.2708994746208191,1638400,466,3199,3510,372.35,1.7610666666666668,17.563356399536133,4.672539710998535,0.0003,3200,0.030948378145694733,-1.800060272216797e-05
-0.25007981061935425,1689600,466,3299,3619,409.5,1.7536,18.510753631591797,2.275125503540039,0.0003,3300,0.018232954666018486,-5.173683166503906e-05
-0.26346296072006226,1740800,467,3399,3726,426.33,1.7461333333333333,17.9486083984375,2.3439321517944336,0.0003,3400,0.05558425560593605,-2.574920654296875e-05
-0.25573551654815674,1792000,467,3499,3836,408.09,1.7386666666666666,18.343170166015625,2.0371897220611572,0.0003,3500,0.03834173083305359,-3.612041473388672e-05
-0.26124081015586853,1843200,466,3599,3948,421.83,1.7312,18.3867130279541,4.539971351623535,0.0003,3600,0.025076234713196754,8.153915405273438e-05
-0.26324281096458435,1894400,466,3699,4058,392.27,1.7237333333333333,17.288436889648438,3.5386672019958496,0.0003,3700,-0.021621137857437134,5.418062210083008e-05
-0.24442115426063538,1945600,466,3799,4171,408.19,1.7162666666666666,18.61598014831543,2.1942615509033203,0.0003,3800,0.02463672123849392,4.64320182800293e-05
-0.26583367586135864,1996800,466,3899,4278,439.7,1.7088,19.02772331237793,5.007821559906006,0.0003,3900,0.03391391038894653,1.5437602996826172e-05
-0.2729835510253906,2048000,466,3999,4387,404.99,1.7013333333333334,17.58146095275879,3.473644495010376,0.0003,4000,0.02564600110054016,-2.6226043701171875e-05
-0.2541525363922119,2099200,466,4099,4496,379.83,1.6938666666666666,17.034866333007812,3.6615121364593506,0.0003,4100,0.057412516325712204,6.556510925292969e-06
-0.2738041281700134,2150400,467,4199,4604,380.11,1.6864,17.850488662719727,3.945084571838379,0.0003,4200,0.05070267617702484,3.3915042877197266e-05
-0.2481420338153839,2201600,466,4299,4714,403.21,1.6789333333333334,18.63597869873047,2.373366117477417,0.0003,4300,0.050047367811203,-4.315376281738281e-05
-0.26046937704086304,2252800,466,4399,4823,425.38,1.6714666666666667,18.71439552307129,4.205333232879639,0.0003,4400,0.0635676458477974,-3.6716461181640625e-05
-0.2577468454837799,2304000,467,4499,4931,391.74,1.664,17.975421905517578,5.493002891540527,0.0003,4500,0.021277299150824547,-4.684925079345703e-05
-0.27230310440063477,2355200,467,4599,5043,390.51,1.6565333333333334,18.003196716308594,6.950854301452637,0.0003,4600,-0.00021173711866140366,2.3245811462402344e-06
-0.2488795816898346,2406400,466,4699,5153,421.64,1.6490666666666667,18.74495506286621,3.975221633911133,0.0003,4700,0.0076983291655778885,-4.38690185546875e-05
-0.265266478061676,2457600,467,4799,5262,400.32,1.6416,17.888381958007812,2.086575984954834,0.0003,4800,0.016311053186655045,-0.00012087821960449219
-0.2592388093471527,2508800,467,4899,5371,441.14,1.6341333333333332,19.016145706176758,4.4614577293396,0.0003,4900,0.039344582706689835,9.357929229736328e-06
-0.2578200101852417,2560000,466,4999,5482,426.67,1.6266666666666667,18.02464485168457,4.188459396362305,0.0003,5000,0.06506969034671783,-7.748603820800781e-06
-0.2687535583972931,2611200,467,5099,5591,417.61,1.6192,18.169588088989258,5.518519401550293,0.0003,5100,0.03573203459382057,6.496906280517578e-06
-0.2505941689014435,2662400,467,5199,5699,391.07,1.6117333333333335,17.74358558654785,2.8465805053710938,0.0003,5200,0.04414984583854675,-7.3909759521484375e-06
-0.2587639093399048,2713600,467,5299,5809,385.29,1.6042666666666667,18.18125343322754,6.352301597595215,0.0003,5300,0.01679997704923153,-3.647804260253906e-05
-0.2695138454437256,2764800,467,5399,5919,361.56,1.5968,16.819534301757812,2.9096667766571045,0.0003,5400,-0.006395972333848476,-0.0001302957534790039
-0.2589203715324402,2816000,467,5499,6028,441.31,1.5893333333333333,18.870880126953125,7.5224151611328125,0.0003,5500,0.018866676837205887,2.8789043426513672e-05
-0.26980292797088623,2867200,467,5599,6139,394.13,1.5818666666666665,18.300708770751953,4.272817611694336,0.0003,5600,0.03443862497806549,-1.4662742614746094e-05
-0.27510881423950195,2918400,467,5699,6247,405.56,1.5744,17.60871124267578,3.6730523109436035,0.0003,5700,-0.00464915856719017,-4.184246063232422e-05
-0.27898651361465454,2969600,467,5799,6355,393.26,1.5669333333333333,18.375415802001953,6.920246124267578,0.0003,5800,0.0010715033859014511,-3.421306610107422e-05
-0.23954713344573975,3020800,466,5899,6469,433.43,1.5594666666666668,18.200851440429688,3.4601969718933105,0.0003,5900,0.027194194495677948,-7.152557373046875e-06
-0.2640719413757324,3072000,467,5999,6578,442.2,1.552,18.42388916015625,2.971097230911255,0.0003,6000,-6.436486728489399e-06,-4.3511390686035156e-05
-0.25962477922439575,3123200,466,6099,6689,393.89,1.5445333333333333,17.304561614990234,4.029509544372559,0.0003,6100,0.018309351056814194,4.1544437408447266e-05
-0.2510726749897003,3174400,466,6199,6799,396.83,1.5370666666666666,18.206083297729492,5.756765365600586,0.0003,6200,0.06479016691446304,1.3709068298339844e-06
-0.2790400981903076,3225600,466,6299,6911,335.73,1.5296,16.46479034423828,5.5212836265563965,0.0003,6300,-0.01573082059621811,-2.7060508728027344e-05
-0.27414441108703613,3276800,466,6399,7020,413.95,1.5221333333333333,18.100637435913086,8.471578598022461,0.0003,6400,0.02301400527358055,-1.8358230590820312e-05
-0.275653600692749,3328000,466,6499,7128,431.17,1.5146666666666668,19.030445098876953,7.113247871398926,0.0003,6500,0.008770866319537163,-2.8133392333984375e-05
-0.25934937596321106,3379200,466,6599,7239,423.72,1.5072,18.238357543945312,5.622708320617676,0.0003,6600,0.022928511723876,1.4185905456542969e-05
-0.2524435818195343,3430400,466,6699,7349,423.84,1.4997333333333334,18.465848922729492,6.228797435760498,0.0003,6700,0.041998155415058136,1.1920928955078125e-06
-0.26799580454826355,3481600,466,6799,7459,380.01,1.4922666666666666,17.642379760742188,4.270310401916504,0.0003,6800,0.04508522152900696,-3.635883331298828e-05
-0.2744176983833313,3532800,466,6899,7569,371.77,1.4848,17.539369583129883,3.047286033630371,0.0003,6900,0.046184930950403214,1.2934207916259766e-05
-0.25240904092788696,3584000,466,6999,7679,369.9,1.4773333333333332,17.972187042236328,8.822142601013184,0.0003,7000,0.025266438722610474,3.057718276977539e-05
