train/n_updates,time/total_timesteps,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,train/policy_loss,rollout/ep_len_mean,time/fps,train/explained_variance,time/iterations,train/learning_rate
4299,1100800,-0.1707177758216858,1.1232956647872925,2.633078098297119,3022,-0.020807471126317978,42.67,364,0.0014377236366271973,4300,0.0002
4399,1126400,-0.17734506726264954,0.6933824419975281,2.145451784133911,3092,-0.019694039598107338,20.74,364,0.0005559921264648438,4400,0.0002
4499,1152000,-0.15272879600524902,0.07469463348388672,2.2400426864624023,3163,0.05562774837017059,32.61,364,0.00015151500701904297,4500,0.0002
4599,1177600,-0.15394186973571777,3.8935327529907227,3.7082107067108154,3230,-0.05337744951248169,77.84,364,0.0005183219909667969,4600,0.0002
4699,1203200,-0.15076079964637756,0.022818615660071373,2.1786110401153564,3303,0.01589154079556465,42.89,364,0.006412506103515625,4700,0.0002
4799,1228800,-0.19776317477226257,6.931417465209961,2.453230381011963,3373,-0.12417832016944885,30.78,364,2.288818359375e-05,4800,0.0002
4899,1254400,-0.16066226363182068,2.3441643714904785,2.0820541381835938,3443,0.008820410817861557,18.6,364,0.000944674015045166,4900,0.0002
4999,1280000,-0.17532098293304443,2.8202097415924072,2.446251153945923,3513,-0.04566575959324837,30.06,364,0.0007095932960510254,5000,0.0002
5099,1305600,-0.16573134064674377,2.5300745964050293,2.4852118492126465,3583,0.03831087052822113,53.57,364,-0.0003668069839477539,5100,0.0002
5199,1331200,-0.16049683094024658,18.083677291870117,2.0515944957733154,3656,-0.03656746819615364,43.17,364,-3.0279159545898438e-05,5200,0.0002
5299,1356800,-0.15649202466011047,6.421966552734375,2.1249170303344727,3725,0.0005853902548551559,28.97,364,0.0006604194641113281,5300,0.0002
5399,1382400,-0.16964951157569885,10.59505844116211,2.301893949508667,3795,-0.012224527075886726,30.39,364,-0.00033783912658691406,5400,0.0002
5499,1408000,-0.14156898856163025,0.6003053188323975,2.7519006729125977,3867,-0.09718770533800125,54.62,364,0.0026438236236572266,5500,0.0002
5599,1433600,-0.18397574126720428,2.7641172409057617,2.6561357975006104,3936,-0.007123271003365517,44.67,364,0.0003108382225036621,5600,0.0002
5699,1459200,-0.16097813844680786,1.2468808889389038,2.5758602619171143,4003,0.012714553624391556,30.97,364,0.0007744431495666504,5700,0.0002
5799,1484800,-0.1585352122783661,3.08594012260437,2.3343422412872314,4068,-0.05995422974228859,32.0,364,-0.0008512735366821289,5800,0.0002
5899,1510400,-0.18078942596912384,2.1552910804748535,2.1034324169158936,4140,-0.07507417351007462,19.34,364,0.0005718469619750977,5900,0.0002
5999,1536000,-0.17766843736171722,2.3357999324798584,2.1736464500427246,4209,0.004166005179286003,19.15,364,0.0008423924446105957,6000,0.0002
6099,1561600,-0.1632521152496338,1.0877517461776733,2.4098153114318848,4279,0.02776000276207924,30.62,364,0.0011227130889892578,6100,0.0002
6199,1587200,-0.14776630699634552,12.737839698791504,2.6638424396514893,4350,-0.023991592228412628,44.74,364,0.00028383731842041016,6200,0.0002
6299,1612800,-0.16605375707149506,2.724278688430786,3.0594658851623535,4421,-0.028106268495321274,53.68,364,0.001188039779663086,6300,0.0002
6399,1638400,-0.1837296038866043,1.768664836883545,2.132425546646118,4490,-0.0100727379322052,30.35,364,0.0005094408988952637,6400,0.0002
6499,1664000,-0.1726149022579193,15.933265686035156,2.176028251647949,4559,-0.01564064994454384,30.58,364,-0.00017452239990234375,6500,0.0002
6599,1689600,-0.1495053470134735,9.183928489685059,2.6298282146453857,4628,-0.005533103831112385,32.08,365,0.0004826188087463379,6600,0.0002
6699,1715200,-0.1729477196931839,2.343120813369751,2.2788567543029785,4697,-0.016549060121178627,44.58,365,0.0005340576171875,6700,0.0002
6799,1740800,-0.18108253180980682,1.8908512592315674,1.9623106718063354,4769,-0.05484424903988838,18.92,365,0.0006365776062011719,6800,0.0002
6899,1766400,-0.17114946246147156,5.207179069519043,2.292766809463501,4840,0.01783641241490841,31.31,364,-0.00027358531951904297,6900,0.0002
6999,1792000,-0.16753891110420227,1.9479594230651855,2.7109944820404053,4908,0.008853709325194359,41.24,365,0.0009344220161437988,7000,0.0002
7099,1817600,-0.15103676915168762,9.031574249267578,2.6615853309631348,4978,0.016039714217185974,54.38,365,0.0005182623863220215,7100,0.0002
7199,1843200,-0.16134017705917358,1.8411041498184204,3.1660430431365967,5049,7.737521082162857e-05,55.04,365,0.0002949237823486328,7200,0.0002
7299,1868800,-0.16124823689460754,0.0565083883702755,2.414499282836914,5120,-0.02661699615418911,28.94,364,-0.004521727561950684,7300,0.0002
7399,1894400,-0.18757668137550354,3.1599457263946533,1.8378393650054932,5191,0.010455440729856491,18.52,364,0.00010269880294799805,7400,0.0002
7499,1920000,-0.14677737653255463,1.7144811153411865,2.7156708240509033,5263,0.02106015384197235,43.0,364,0.0010097622871398926,7500,0.0002
7599,1945600,-0.16837269067764282,2.495863437652588,2.182178258895874,5334,-0.01663019508123398,29.71,364,0.00040405988693237305,7600,0.0002
7699,1971200,-0.17927736043930054,2.484013080596924,2.049147129058838,5407,-0.07727424055337906,42.49,364,8.499622344970703e-05,7700,0.0002
7799,1996800,-0.182937353849411,4.950031280517578,2.739619493484497,5473,0.016398277133703232,30.49,364,4.404783248901367e-05,7800,0.0002
7899,2022400,-0.1793690174818039,1.2034037113189697,2.853790044784546,5542,-0.03695199638605118,44.91,364,0.0003979206085205078,7900,0.0002
7999,2048000,-0.1608230471611023,11.653667449951172,2.426973342895508,5615,0.021723758429288864,31.03,364,0.00016033649444580078,8000,0.0002
8099,2073600,-0.15641279518604279,0.207000732421875,3.155923843383789,5687,-0.01591830886900425,64.51,364,0.0022219419479370117,8100,0.0002
8199,2099200,-0.16868117451667786,2.348691940307617,2.8228559494018555,5755,-0.018010767176747322,43.4,364,-6.687641143798828e-05,8200,0.0002
8299,2124800,-0.17115949094295502,2.608417272567749,2.170419454574585,5824,0.036221377551555634,54.41,364,0.00045746564865112305,8300,0.0002
