train/learning_rate,train/explained_variance,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/policy_loss,train/entropy_loss,time/total_timesteps,time/iterations,train/value_loss
0.0003,-8.511543273925781e-05,1.6565333333333334,444,5303,139.82,4599,9.041662216186523,0.03021128475666046,-0.22046703100204468,2355200,4600,2.6022727489471436
0.0003,-0.00021398067474365234,1.6490666666666667,444,5416,214.37,4699,12.973047256469727,-0.014202662743628025,-0.2647877633571625,2406400,4700,1.1227433681488037
0.0003,2.6464462280273438e-05,1.6416,444,5533,148.77,4799,9.559701919555664,0.05349135398864746,-0.2657702565193176,2457600,4800,3.060211420059204
0.0003,-0.00010454654693603516,1.6341333333333332,444,5648,150.22,4899,9.61540412902832,-0.036989398300647736,-0.2668890357017517,2508800,4900,2.1124911308288574
0.0003,0.00015467405319213867,1.6266666666666667,443,5768,248.13,4999,14.138092041015625,0.03649784252047539,-0.2798410654067993,2560000,5000,3.64743709564209
0.0003,9.059906005859375e-06,1.6192,443,5884,189.25,5099,11.313146591186523,0.02877718023955822,-0.3015168309211731,2611200,5100,5.485559463500977
0.0003,-4.4465065002441406e-05,1.6117333333333335,443,5999,117.37,5199,8.501618385314941,0.0773513987660408,-0.2517945468425751,2662400,5200,3.8250651359558105
0.0003,-0.00018584728240966797,1.6042666666666667,443,6119,172.01,5299,10.322870254516602,-0.009998178109526634,-0.25277167558670044,2713600,5300,2.064020872116089
0.0003,-0.0001081228256225586,1.5968,443,6236,203.48,5399,12.601153373718262,0.04300527647137642,-0.270940899848938,2764800,5400,6.413290977478027
0.0003,-0.00023424625396728516,1.5893333333333333,443,6352,86.86,5499,7.201517105102539,-0.004429632797837257,-0.2573751211166382,2816000,5500,1.9092071056365967
0.0003,2.6226043701171875e-05,1.5818666666666665,443,6471,178.28,5599,11.491857528686523,0.045000337064266205,-0.2539479732513428,2867200,5600,4.618503570556641
0.0003,-5.5789947509765625e-05,1.5744,443,6586,182.04,5699,11.042790412902832,0.011822040192782879,-0.2680107355117798,2918400,5700,2.2942118644714355
0.0003,-0.00015866756439208984,1.5669333333333333,443,6702,283.57,5799,14.576398849487305,0.04703780636191368,-0.2520984709262848,2969600,5800,1.570988416671753
0.0003,-6.35385513305664e-05,1.5594666666666668,442,6819,172.9,5899,10.683465957641602,0.04458710551261902,-0.25894641876220703,3020800,5900,3.989778995513916
0.0003,-0.00016176700592041016,1.552,442,6935,174.78,5999,11.114301681518555,0.04058044031262398,-0.2818141579627991,3072000,6000,2.739767074584961
0.0003,-6.556510925292969e-06,1.5445333333333333,442,7050,159.19,6099,9.901216506958008,0.04379022866487503,-0.2632542550563812,3123200,6100,2.0121047496795654
0.0003,-0.00011801719665527344,1.5370666666666666,442,7167,250.1,6199,13.514975547790527,0.029811963438987732,-0.29984450340270996,3174400,6200,3.229557514190674
0.0003,9.59634780883789e-06,1.5296,442,7284,125.83,6299,8.286750793457031,0.03720250353217125,-0.2515280842781067,3225600,6300,3.1209797859191895
0.0003,-0.00018596649169921875,1.5221333333333333,442,7403,183.84,6399,10.348847389221191,-0.022640088573098183,-0.21477487683296204,3276800,6400,2.3180346488952637
0.0003,-0.00014650821685791016,1.5146666666666668,442,7520,192.13,6499,10.874820709228516,0.05254027247428894,-0.2806345224380493,3328000,6500,1.9289612770080566
0.0003,-7.724761962890625e-05,1.5072,442,7637,143.57,6599,9.674182891845703,0.02039801888167858,-0.27173906564712524,3379200,6600,5.9418487548828125
0.0003,-7.939338684082031e-05,1.4997333333333334,442,7753,142.82,6699,9.295112609863281,0.030991913750767708,-0.2628968358039856,3430400,6700,10.023897171020508
0.0003,-0.00017309188842773438,1.4922666666666666,442,7872,182.57,6799,11.329362869262695,0.04894671589136124,-0.26649463176727295,3481600,6800,2.646453857421875
0.0003,4.106760025024414e-05,1.4848,442,7988,166.7,6899,10.809146881103516,0.06130410358309746,-0.29450723528862,3532800,6900,6.364014625549316
0.0003,-0.00012242794036865234,1.4773333333333332,442,8105,144.68,6999,9.500804901123047,0.06322277337312698,-0.2468283623456955,3584000,7000,2.711256504058838
0.0003,-1.1920928955078125e-05,1.4698666666666667,442,8223,178.52,7099,10.366049766540527,0.05325964093208313,-0.2811706066131592,3635200,7100,2.6791763305664062
0.0003,-8.535385131835938e-05,1.4624000000000001,441,8340,194.66,7199,11.27784538269043,0.0671970397233963,-0.24842782318592072,3686400,7200,2.9226746559143066
0.0003,-3.0040740966796875e-05,1.4549333333333334,442,8455,210.35,7299,12.225363731384277,0.04078935086727142,-0.24222779273986816,3737600,7300,11.559768676757812
0.0003,-0.0002378225326538086,1.4474666666666667,441,8573,174.92,7399,10.487496376037598,0.0276348739862442,-0.24660909175872803,3788800,7400,0.7845886945724487
0.0003,-6.020069122314453e-05,1.44,441,8690,188.75,7499,11.095458030700684,0.043502938002347946,-0.27320683002471924,3840000,7500,3.1045455932617188
0.0003,-0.00016617774963378906,1.4325333333333332,441,8806,50.65,7599,4.992834091186523,0.05909231677651405,-0.25823503732681274,3891200,7600,3.1152124404907227
0.0003,-0.0001722574234008789,1.4250666666666667,441,8923,197.31,7699,11.382323265075684,0.060992322862148285,-0.28633975982666016,3942400,7700,2.3316843509674072
0.0003,-0.00014388561248779297,1.4176,441,9038,128.05,7799,8.65634822845459,0.05471521243453026,-0.2591775953769684,3993600,7800,2.1558539867401123
0.0003,4.2319297790527344e-05,1.4101333333333335,441,9155,215.8,7899,12.501348495483398,0.07648756355047226,-0.25360652804374695,4044800,7900,7.725894927978516
0.0003,-2.47955322265625e-05,1.4026666666666667,441,9273,141.38,7999,9.110577583312988,0.04311826825141907,-0.28085607290267944,4096000,8000,2.5680432319641113
0.0003,2.0325183868408203e-05,1.3952,441,9390,188.42,8099,11.751574516296387,0.01794484443962574,-0.2642810046672821,4147200,8100,5.527984142303467
0.0003,-8.022785186767578e-05,1.3877333333333333,441,9505,150.63,8199,9.841269493103027,0.07855163514614105,-0.2795233726501465,4198400,8200,4.2874603271484375
0.0003,-0.00012373924255371094,1.3802666666666665,441,9620,239.35,8299,13.062834739685059,0.047371555119752884,-0.23901408910751343,4249600,8300,3.0540943145751953
0.0003,-0.00011861324310302734,1.3728,441,9739,191.63,8399,11.950905799865723,0.02951395884156227,-0.2569253742694855,4300800,8400,1.3318896293640137
0.0003,-7.164478302001953e-05,1.3653333333333333,441,9855,143.41,8499,9.763036727905273,0.032970014959573746,-0.28582751750946045,4352000,8500,9.630715370178223
0.0003,-5.9604644775390625e-05,1.3578666666666668,441,9970,222.08,8599,13.976903915405273,0.03737901896238327,-0.2893076539039612,4403200,8600,3.907719135284424
0.0003,-6.99758529663086e-05,1.3504,441,10085,151.76,8699,9.279620170593262,0.0030090678483247757,-0.25453636050224304,4454400,8700,2.771979808807373
0.0003,-0.00020313262939453125,1.3429333333333333,441,10201,271.7,8799,15.176627159118652,-0.011765113100409508,-0.24039295315742493,4505600,8800,1.804038405418396
0.0003,-0.00016939640045166016,1.3354666666666666,441,10318,169.96,8899,10.328039169311523,0.09096230566501617,-0.31534984707832336,4556800,8900,2.6959071159362793
0.0003,-6.723403930664062e-05,1.3279999999999998,441,10436,70.74,8999,6.0501532554626465,0.00019347341731190681,-0.27894601225852966,4608000,9000,2.71803617477417
0.0003,-0.00014853477478027344,1.3205333333333333,441,10553,181.85,9099,10.823232650756836,0.039507102221250534,-0.2766989469528198,4659200,9100,3.790717601776123
0.0003,-6.818771362304688e-05,1.3130666666666666,441,10669,176.23,9199,10.643314361572266,0.02546726167201996,-0.269723117351532,4710400,9200,3.5305063724517822
0.0003,-9.572505950927734e-05,1.3056,441,10788,117.67,9299,8.639647483825684,0.07617054134607315,-0.2580779790878296,4761600,9300,3.073263168334961
0.0003,-8.320808410644531e-05,1.2981333333333334,441,10905,183.85,9399,11.078569412231445,0.06659361720085144,-0.3115062713623047,4812800,9400,1.2867825031280518
0.0003,-0.00011086463928222656,1.2906666666666666,441,11020,143.62,9499,9.314496040344238,0.07124622166156769,-0.298237681388855,4864000,9500,4.83711051940918
0.0003,-0.0001571178436279297,1.2832,441,11135,154.84,9599,9.797454833984375,0.05195466801524162,-0.2684229016304016,4915200,9600,4.090170860290527
0.0003,-9.047985076904297e-05,1.2757333333333334,441,11251,213.85,9699,12.422696113586426,0.09276393055915833,-0.26558661460876465,4966400,9700,4.230674743652344
0.0003,0.00019508600234985352,1.2682666666666667,441,11367,182.53,9799,10.463482856750488,-0.018968969583511353,-0.2252403050661087,5017600,9800,3.1396636962890625
0.0003,-0.0001875162124633789,1.2608000000000001,441,11485,207.34,9899,12.265963554382324,0.0003885808400809765,-0.25590816140174866,5068800,9900,1.4062278270721436
0.0003,-0.00011742115020751953,1.2533333333333334,441,11601,259.27,9999,14.401915550231934,0.028380263596773148,-0.2923099994659424,5120000,10000,4.586316108703613
0.0003,-7.3909759521484375e-06,1.2458666666666667,441,11716,198.25,10099,11.512606620788574,0.02093356102705002,-0.2891400158405304,5171200,10100,4.067550182342529
0.0003,1.5854835510253906e-05,1.2384,441,11832,132.22,10199,8.969659805297852,0.026101987808942795,-0.28617143630981445,5222400,10200,3.2503793239593506
0.0003,-0.00020802021026611328,1.2309333333333332,441,11949,232.65,10299,13.400935173034668,0.022602304816246033,-0.2829689383506775,5273600,10300,1.4174529314041138
0.0003,-0.00013375282287597656,1.2234666666666667,441,12066,205.86,10399,12.15971565246582,0.06181194633245468,-0.2645779252052307,5324800,10400,2.9614667892456055
0.0003,-0.0001277923583984375,1.216,441,12185,152.67,10499,10.21844482421875,0.012244520708918571,-0.27353596687316895,5376000,10500,3.094407796859741
0.0003,-0.00021767616271972656,1.2085333333333335,441,12301,188.81,10599,11.757244110107422,-0.00252725463360548,-0.29775363206863403,5427200,10600,3.5985045433044434
0.0003,-6.949901580810547e-05,1.2010666666666667,441,12418,185.95,10699,10.156229019165039,0.046915389597415924,-0.28198403120040894,5478400,10700,3.5930235385894775
0.0003,-0.0002428293228149414,1.1936,441,12536,268.23,10799,14.395279884338379,0.003084571100771427,-0.2319599688053131,5529600,10800,1.976707100868225
0.0003,-0.0001537799835205078,1.1861333333333333,441,12652,222.54,10899,12.715938568115234,-0.021955173462629318,-0.2609894871711731,5580800,10900,3.105252504348755
