train/n_updates,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,rollout/ep_rew_mean,train/value_loss,time/iterations,time/time_elapsed
1289,-0.4186647832393646,179,0.025402983650565147,0.00020100479999999996,0.0655568,62.48,990720,0.10439682006835938,-0.3474651277065277,0.7448011636734009,1290,5529
1319,-0.4230239987373352,181,0.011882564052939415,0.0001987008,0.06417439999999999,66.43,1013760,-0.09663128852844238,-0.10096117854118347,0.3891778886318207,1320,5580
1349,-0.40790295600891113,184,0.023590218275785446,0.0001963968,0.06279200000000001,61.77,1036800,0.01914423704147339,-0.3046957850456238,0.5760713815689087,1350,5632
1379,-0.4487362802028656,186,0.03711993619799614,0.00019409279999999999,0.06140960000000001,65.94,1059840,-0.14808118343353271,-0.1611344963312149,0.5760173797607422,1380,5686
1409,-0.4208775758743286,188,0.024270467460155487,0.0001917888,0.0600272,65.94,1082880,-0.031034231185913086,-0.1637333333492279,0.576970100402832,1410,5741
1439,-0.409747451543808,190,0.013410123996436596,0.00018948480000000002,0.0586448,65.64,1105920,0.15537923574447632,-0.07088202238082886,0.5775454044342041,1440,5793
1469,-0.4518970251083374,193,0.017925571650266647,0.0001871808,0.057262400000000005,72.92,1128960,0.19396930932998657,-0.006481193471699953,0.4356691241264343,1470,5846
1499,-0.46056628227233887,195,-0.03323019668459892,0.0001848768,0.05588000000000001,65.98,1152000,-0.1415930986404419,-0.25615811347961426,0.6354613304138184,1500,5899
1529,-0.4383806586265564,197,0.025020478293299675,0.0001825728,0.05449759999999999,64.06,1175040,-0.006021618843078613,-0.13158844411373138,0.7347369194030762,1530,5952
1559,-0.44947654008865356,199,0.005154546350240707,0.0001802688,0.0531152,75.3,1198080,0.039839208126068115,-0.14201189577579498,0.4507584273815155,1560,6006
1589,-0.4154876172542572,201,0.011567930690944195,0.0001779648,0.05173280000000001,58.91,1221120,0.12607312202453613,-0.3872988522052765,0.4145800769329071,1590,6058
1619,-0.4176784157752991,203,0.019026948139071465,0.0001756608,0.050350400000000003,71.34,1244160,0.067241370677948,-0.31474027037620544,0.5540571212768555,1620,6110
1649,-0.4640383720397949,205,0.022843074053525925,0.0001733568,0.048968,62.78,1267200,-0.22835922241210938,-0.3049592971801758,0.5851423144340515,1650,6162
1679,-0.44146907329559326,207,0.026712387800216675,0.0001710528,0.047585600000000006,72.62,1290240,-0.014451742172241211,-0.19628584384918213,0.6176998019218445,1680,6214
1709,-0.4277176856994629,209,0.03987591713666916,0.0001687488,0.0462032,77.24,1313280,0.09571802616119385,0.07954947650432587,0.8422874212265015,1710,6266
1739,-0.4128769338130951,211,0.023481791839003563,0.0001664448,0.04482080000000001,61.31,1336320,0.16615480184555054,-0.30353161692619324,0.8707205653190613,1740,6318
1769,-0.4242585301399231,213,0.0010136835044249892,0.0001641408,0.0434384,60.99,1359360,0.008643805980682373,-0.1666768193244934,0.6177257299423218,1770,6373
1799,-0.42487454414367676,215,-0.010558116249740124,0.0001618368,0.042055999999999996,64.72,1382400,-0.027793526649475098,-0.21032974123954773,0.6652599573135376,1800,6428
1829,-0.43774545192718506,216,0.04193750023841858,0.0001595328,0.040673600000000004,71.55,1405440,0.09722387790679932,-0.18464869260787964,0.7280289530754089,1830,6482
1859,-0.4383356273174286,218,0.011125496588647366,0.00015722879999999998,0.0392912,59.78,1428480,-0.03909170627593994,-0.30216944217681885,0.8232827186584473,1860,6537
1889,-0.44128045439720154,220,-0.015260089188814163,0.0001549248,0.037908800000000006,57.79,1451520,-0.2130361795425415,-0.3220213055610657,0.7730180621147156,1890,6594
1919,-0.4322105646133423,221,-0.004094866570085287,0.00015262080000000001,0.0365264,66.17,1474560,-0.05375349521636963,-0.2658086121082306,0.8369470834732056,1920,6649
1949,-0.4443150460720062,223,0.004232748411595821,0.0001503168,0.035143999999999995,66.42,1497600,-0.017477869987487793,-0.046998485922813416,0.511705219745636,1950,6705
1979,-0.4527202546596527,224,0.014971131458878517,0.00014801280000000002,0.0337616,56.53,1520640,0.048525333404541016,-0.11605950444936752,0.5822436213493347,1980,6761
2009,-0.4239763617515564,226,0.009431570768356323,0.00014570879999999998,0.03237920000000001,61.31,1543680,0.08958470821380615,-0.3465266525745392,0.6196756362915039,2010,6817
2039,-0.4254985749721527,227,0.0066530779004096985,0.0001434048,0.030996800000000005,65.81,1566720,-0.055373430252075195,-0.1711786985397339,0.44195064902305603,2040,6872
2069,-0.4440191984176636,229,-0.009146574884653091,0.00014110080000000002,0.0296144,59.72,1589760,0.033287107944488525,-0.29042425751686096,0.6708250045776367,2070,6928
2099,-0.4263281524181366,230,0.012958976440131664,0.0001387968,0.028232000000000007,62.85,1612800,-0.053151726722717285,-0.17758755385875702,0.7639798521995544,2100,6984
2129,-0.4435727000236511,232,0.010955043137073517,0.0001364928,0.0268496,65.3,1635840,0.1252138614654541,-0.13592936098575592,0.5244280099868774,2130,7039
2159,-0.4372473955154419,233,0.025546621531248093,0.00013418879999999998,0.02546720000000001,76.06,1658880,0.08413445949554443,-0.1373557150363922,0.6255349516868591,2160,7094
2189,-0.4206632375717163,235,0.033044200390577316,0.0001318848,0.024084800000000003,67.06,1681920,0.04218435287475586,-0.3546011447906494,0.40530890226364136,2190,7149
2219,-0.41308659315109253,236,0.03024701401591301,0.00012958080000000002,0.022702399999999998,75.25,1704960,-0.04427933692932129,-0.23169273138046265,0.7482530474662781,2220,7204
