train/value_loss,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/policy_loss,rollout/ep_len_mean,train/learning_rate,train/ent_coef,train/explained_variance
0.5489262938499451,1333,-0.5904749631881714,552960,-15.792841911315918,414,360,359,0.0312080979347229,82.77,0.0002724288,0.17442560000000001,0.6154012978076935
0.5200524926185608,1410,-0.5727810859680176,583680,-10.24389362335205,413,380,379,0.017187323421239853,54.59,0.0002708928,0.17300480000000001,0.5837295055389404
0.47136741876602173,1486,-0.5950657725334167,614400,-10.3488187789917,413,400,399,0.03245801851153374,55.02,0.0002693568,0.17158400000000001,0.583008885383606
0.483698308467865,1560,-0.5720797777175903,645120,-12.048569679260254,413,420,419,0.04296480119228363,64.48,0.0002678208,0.17016320000000001,0.5930449068546295
0.47706717252731323,1637,-0.5796670913696289,675840,-14.955161094665527,412,440,439,0.0338747464120388,79.23,0.0002662848,0.16874240000000001,0.5863131880760193
0.6065389513969421,1712,-0.5607731342315674,706560,-13.307579040527344,412,460,459,0.000941505073569715,68.67,0.0002647488,0.16732160000000001,0.32411324977874756
0.42812928557395935,1788,-0.6003847122192383,737280,-12.442647933959961,412,480,479,0.04271988570690155,65.03,0.0002632128,0.16590080000000001,0.5036661624908447
0.5052217245101929,1862,-0.5907906293869019,768000,-13.922651290893555,412,500,499,0.020458735525608063,75.82,0.00026167679999999997,0.16448000000000002,0.39385849237442017
0.5949830412864685,1941,-0.5797884464263916,798720,-12.658719062805176,411,520,519,0.021813426166772842,66.2,0.00026014079999999996,0.16305920000000002,0.5533449649810791
0.49542492628097534,2021,-0.5715450644493103,829440,-15.507048606872559,410,540,539,0.043465204536914825,81.38,0.0002586048,0.16163840000000002,0.5138274133205414
0.5878738164901733,2101,-0.5801602602005005,860160,-15.883763313293457,409,560,559,0.019928811118006706,81.26,0.0002570688,0.16021760000000002,0.43771326541900635
0.5028811097145081,2181,-0.5878781676292419,890880,-11.743059158325195,408,580,579,0.05458453297615051,61.71,0.0002555328,0.15879680000000002,0.4770944118499756
0.5815146565437317,2261,-0.5894872546195984,921600,-13.606618881225586,407,600,599,0.07331499457359314,71.0,0.0002539968,0.15737600000000002,0.34673768281936646
0.47638726234436035,2340,-0.5842577219009399,952320,-11.650625228881836,406,620,619,0.05501873046159744,61.96,0.0002524608,0.15595520000000002,0.4573931097984314
0.4575028121471405,2419,-0.5834935307502747,983040,-12.661843299865723,406,640,639,0.05531178414821625,68.04,0.0002509248,0.15453440000000002,0.44053828716278076
0.5202378034591675,2500,-0.5786426067352295,1013760,-12.553388595581055,405,660,659,0.0597374364733696,65.23,0.0002493888,0.15311360000000002,0.49447399377822876
0.4512031078338623,2579,-0.5862923860549927,1044480,-16.0825252532959,404,680,679,0.07102011144161224,86.03,0.00024785279999999996,0.15169280000000002,0.507106363773346
0.5164357423782349,2659,-0.5836875438690186,1075200,-14.58087158203125,404,700,699,0.08569245040416718,75.61,0.0002463168,0.15027200000000002,0.5331084132194519
0.5030487775802612,2738,-0.5905546545982361,1105920,-13.761391639709473,403,720,719,0.03435218334197998,73.8,0.0002447808,0.14885120000000002,0.37415891885757446
0.49142760038375854,2818,-0.5894825458526611,1136640,-13.343657493591309,403,740,739,0.04570002108812332,70.97,0.0002432448,0.14743040000000002,0.43058985471725464
0.5358272790908813,2898,-0.58677077293396,1167360,-13.154563903808594,402,760,759,0.044381871819496155,67.72,0.00024170879999999999,0.14600960000000002,0.539627879858017
0.45544835925102234,2976,-0.5819190740585327,1198080,-13.896688461303711,402,780,779,0.08698704838752747,72.04,0.00024017279999999998,0.14458880000000002,0.5065231919288635
0.48438161611557007,3055,-0.5851501226425171,1228800,-12.877096176147461,402,800,799,0.009303516708314419,69.15,0.00023863679999999997,0.14316800000000002,0.6245735883712769
0.5545744895935059,3136,-0.6017559766769409,1259520,-10.175342559814453,401,820,819,0.048255182802677155,53.3,0.00023710080000000002,0.14174720000000002,0.44523078203201294
0.506765604019165,3216,-0.5838892459869385,1290240,-15.996838569641113,401,840,839,0.05991726368665695,83.6,0.0002355648,0.14032640000000002,0.4746589660644531
0.5895309448242188,3294,-0.5732935667037964,1320960,-16.234289169311523,400,860,859,0.059731364250183105,85.84,0.0002340288,0.13890560000000002,0.3149172067642212
0.5226961970329285,3372,-0.5867578983306885,1351680,-13.543919563293457,400,880,879,0.03413373976945877,70.72,0.0002324928,0.13748480000000002,0.5554735660552979
0.5292685031890869,3452,-0.5790102481842041,1382400,-13.116291046142578,400,900,899,0.04664841294288635,68.05,0.0002309568,0.13606400000000002,0.41940754652023315
0.42407822608947754,3531,-0.5894501209259033,1413120,-12.780401229858398,400,920,919,0.06554808467626572,68.38,0.00022942079999999998,0.13464320000000002,0.3831568956375122
0.4620437026023865,3610,-0.5839040279388428,1443840,-12.921586990356445,399,940,939,0.052505116909742355,68.28,0.00022788479999999998,0.13322240000000002,0.46527326107025146
