rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/ent_coef,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_loss,train/entropy_loss
126.95,436,319,-3.9413623809814453,34,139264,0.42270848,8.64832e-05,33,0.3787005543708801,-0.11362063884735107,0.011847442016005516,-0.6606955528259277
126.19,449,318,-3.8790488243103027,35,143360,0.4204352,8.60736e-05,34,0.42979753017425537,-0.161096453666687,0.011939221993088722,-0.6620159149169922
125.69,463,318,-3.7899889945983887,36,147456,0.41816191999999996,8.5664e-05,35,0.3376915454864502,-0.08582305908203125,0.010795759968459606,-0.6616545915603638
117.77,476,318,-3.3829360008239746,37,151552,0.41588864000000003,8.525440000000001e-05,36,0.318869948387146,-0.07435870170593262,0.01859094575047493,-0.6615550518035889
118.3,489,318,-3.2975571155548096,38,155648,0.41361536,8.48448e-05,37,0.37281662225723267,-0.0024466514587402344,0.014738773927092552,-0.6609158515930176
117.52,501,318,-3.276698350906372,39,159744,0.41134208,8.44352e-05,38,0.39094120264053345,-0.09025895595550537,0.012052919715642929,-0.6620056629180908
121.49,514,318,-3.4288039207458496,40,163840,0.4090688,8.402560000000001e-05,39,0.35637205839157104,-0.22586393356323242,0.009239351376891136,-0.6624513268470764
122.47,527,318,-3.5404422283172607,41,167936,0.40679552,8.361600000000001e-05,40,0.36528271436691284,-0.10025918483734131,0.01450682058930397,-0.6602465510368347
123.09,540,318,-3.5165793895721436,42,172032,0.40452224000000003,8.32064e-05,41,0.3766641914844513,-0.07450830936431885,0.01691594161093235,-0.6626203060150146
123.25,553,318,-3.4034457206726074,43,176128,0.40224896,8.27968e-05,42,0.3882090449333191,-0.08365392684936523,0.003790047951042652,-0.6617710590362549
119.24,566,318,-3.2702105045318604,44,180224,0.39997568,8.238720000000001e-05,43,0.37072253227233887,-0.11975741386413574,0.01618049293756485,-0.6611031293869019
117.73,579,318,-3.51121187210083,45,184320,0.3977024,8.19776e-05,44,0.34355026483535767,-0.1337951421737671,0.011663628742098808,-0.6600801348686218
123.61,591,318,-3.614267349243164,46,188416,0.39542912,8.1568e-05,45,0.40543150901794434,-0.039290428161621094,0.016578219830989838,-0.6611172556877136
128.29,604,318,-3.7080800533294678,47,192512,0.39315584000000003,8.115840000000001e-05,46,0.3629443049430847,-0.11916863918304443,0.014194874092936516,-0.6604294776916504
129.35,617,318,-3.6753242015838623,48,196608,0.39088256,8.074880000000001e-05,47,0.3324384093284607,-0.13730716705322266,0.01512090303003788,-0.6610496044158936
122.29,629,318,-3.5464935302734375,49,200704,0.38860928,8.03392e-05,48,0.36200857162475586,-0.08381295204162598,0.01615343615412712,-0.6603653430938721
125.01,642,318,-3.6823935508728027,50,204800,0.386336,7.99296e-05,49,0.35438013076782227,-0.20003879070281982,0.01217966340482235,-0.6616616249084473
127.66,655,318,-3.569781541824341,51,208896,0.38406272,7.952000000000001e-05,50,0.3306220471858978,-0.04901254177093506,0.015280903317034245,-0.660834014415741
131.76,668,318,-3.5983164310455322,52,212992,0.38178944000000004,7.911040000000001e-05,51,0.3714592456817627,-0.16024386882781982,0.01466541737318039,-0.6601499915122986
134.24,681,318,-3.692929267883301,53,217088,0.37951616,7.87008e-05,52,0.4407062232494354,-0.11478173732757568,0.018214553594589233,-0.6620706915855408
123.91,694,318,-3.387448787689209,54,221184,0.37724288,7.82912e-05,53,0.35506540536880493,-0.13999950885772705,0.00940824206918478,-0.6613215208053589
122.2,707,318,-3.396219491958618,55,225280,0.3749696,7.788160000000001e-05,54,0.3246186673641205,0.015594780445098877,0.01638716459274292,-0.6608136296272278
125.08,720,318,-3.586167097091675,56,229376,0.37269631999999997,7.7472e-05,55,0.3590472638607025,-0.06896913051605225,0.02190582826733589,-0.6604323983192444
131.25,733,318,-3.8126769065856934,57,233472,0.37042304000000004,7.70624e-05,56,0.3511154055595398,-0.072212815284729,0.019051246345043182,-0.6594136953353882
123.45,746,318,-3.5598971843719482,58,237568,0.36814976,7.665280000000001e-05,57,0.371923565864563,-0.13287115097045898,0.02005244791507721,-0.6612060070037842
115.21,758,318,-3.4110937118530273,59,241664,0.36587648,7.624320000000001e-05,58,0.31818848848342896,0.01505887508392334,0.01565202698111534,-0.662064790725708
116.44,772,318,-3.439237356185913,60,245760,0.3636032,7.583359999999999e-05,59,0.35210710763931274,-0.11592447757720947,0.01367095299065113,-0.6606912016868591
124.14,785,318,-3.7911508083343506,61,249856,0.36132991999999997,7.5424e-05,60,0.34652453660964966,-0.049292802810668945,0.013696892186999321,-0.6626949906349182
127.92,798,317,-3.749274969100952,62,253952,0.35905664,7.501440000000001e-05,61,0.3386043906211853,-0.16064047813415527,0.015912333503365517,-0.6586651802062988
122.9,812,317,-3.587043523788452,63,258048,0.35678336,7.46048e-05,62,0.34477001428604126,-0.0233151912689209,0.0193234421312809,-0.6612604856491089
122.6,825,317,-3.4530205726623535,64,262144,0.35451008,7.41952e-05,63,0.3778333067893982,-0.14194512367248535,0.015611265785992146,-0.6615782380104065
119.35,838,317,-3.269033193588257,65,266240,0.3522368,7.378560000000001e-05,64,0.36685124039649963,-0.13630211353302002,0.015094580128788948,-0.66074138879776
126.17,851,317,-3.539419651031494,66,270336,0.34996352,7.337600000000001e-05,65,0.39920493960380554,-0.19326937198638916,0.01743995025753975,-0.6613797545433044
119.48,863,317,-3.4130213260650635,67,274432,0.34769024000000004,7.296639999999999e-05,66,0.35283809900283813,-0.06487321853637695,0.019945699721574783,-0.6615094542503357
124.93,876,317,-3.831131935119629,68,278528,0.34541696,7.25568e-05,67,0.3363913893699646,-0.059641480445861816,0.015002923086285591,-0.661041259765625
125.47,889,317,-3.837833881378174,69,282624,0.34314368,7.214720000000001e-05,68,0.368164598941803,-0.021276473999023438,0.016784686595201492,-0.6616270542144775
