time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,time/iterations,train/n_updates,train/entropy_loss,rollout/ep_len_mean
193,0.000176882176,-0.0655747801065445,0.7841193675994873,3548,0.21696985600000002,3.280489444732666,0.23385746777057648,688128,84,83,-0.5886380672454834,92.9
196,0.00017576806400000002,-0.06654441356658936,0.8132320642471313,3665,0.215396992,3.4570627212524414,0.21514183282852173,720896,88,87,-0.5832249522209167,97.22
199,0.00017465395200000003,-0.06891582161188126,0.8203066736459732,3781,0.213824128,3.3496031761169434,0.2294524908065796,753664,92,91,-0.5838849544525146,97.53
201,0.00017353984,-0.06304426491260529,0.8343550115823746,3905,0.212251264,3.701080560684204,0.22928516566753387,786432,96,95,-0.5804710388183594,91.03
202,0.00017242572800000002,-0.07102686166763306,0.8431840240955353,4038,0.2106784,3.5409369468688965,0.19675342738628387,819200,100,99,-0.5721288919448853,102.14
204,0.000171311616,-0.06741677224636078,0.8300331383943558,4171,0.209105536,3.8374440670013428,0.24068798124790192,851968,104,103,-0.5664663314819336,89.11
205,0.000170197504,-0.07567623257637024,0.8324294984340668,4300,0.207532672,3.9477901458740234,0.20983709394931793,884736,108,107,-0.5583220720291138,91.2
206,0.000169083392,-0.0803627148270607,0.8441407829523087,4433,0.205959808,4.053070068359375,0.18501168489456177,917504,112,111,-0.5503644943237305,101.17
208,0.00016796928,-0.06864374876022339,0.8743021190166473,4563,0.20438694400000001,4.157703876495361,0.1665841042995453,950272,116,115,-0.5536727905273438,92.23
209,0.00016685516800000002,-0.06786353886127472,0.8548744767904282,4692,0.20281408,4.165526866912842,0.18458467721939087,983040,120,119,-0.5460902452468872,97.35
210,0.000165741056,-0.09213950484991074,0.8385027498006821,4822,0.201241216,4.311760902404785,0.19138167798519135,1015808,124,123,-0.5334962606430054,105.91
211,0.00016462694400000001,-0.08303522318601608,0.8388388603925705,4954,0.199668352,4.355131149291992,0.20643925666809082,1048576,128,127,-0.530899703502655,97.94
212,0.000163512832,-0.07852895557880402,0.894856683909893,5083,0.198095488,4.429444313049316,0.1378439962863922,1081344,132,131,-0.5316523313522339,101.67
213,0.00016239872,-0.08417125791311264,0.8874359130859375,5213,0.196522624,4.620685577392578,0.15491321682929993,1114112,136,135,-0.5269455909729004,102.62
214,0.00016128460800000002,-0.08295060694217682,0.8778880015015602,5344,0.19494976,4.894847393035889,0.13947048783302307,1146880,140,139,-0.5132299065589905,101.66
215,0.000160170496,-0.08248494565486908,0.8424463272094727,5475,0.19337689600000002,4.946048736572266,0.22450903058052063,1179648,144,143,-0.510063648223877,106.98
216,0.00015905638400000001,-0.09245923906564713,0.90836301445961,5602,0.191804032,5.007648944854736,0.10429492592811584,1212416,148,147,-0.5195068120956421,106.96
