train/value_loss,train/ent_coef,train/entropy_loss,rollout/ep_len_mean,train/policy_loss,train/explained_variance,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,time/iterations
0.14430785179138184,0.201044608,-0.5081069469451904,101.96,-0.07174932956695557,0.854175865650177,323,1769472,5.488898277282715,5476,0.00016477440000000002,215,216
0.16100454330444336,0.20013802666666666,-0.5110806822776794,107.22,-0.06826673448085785,0.8671652227640152,323,1802240,5.134594917297363,5576,0.00016411904,219,220
0.16302984952926636,0.19923144533333334,-0.5156981945037842,107.7,-0.06584016978740692,0.8467795103788376,323,1835008,5.1866936683654785,5676,0.00016346368,223,224
0.15740664303302765,0.198324864,-0.5197369456291199,103.71,-0.08121886849403381,0.8364925235509872,323,1867776,5.013525009155273,5776,0.00016280832,227,228
0.16351564228534698,0.19741828266666667,-0.51092529296875,96.54,-0.0738038420677185,0.8218861371278763,323,1900544,5.370307445526123,5872,0.00016215296,231,232
0.1955234408378601,0.19651170133333334,-0.5130445957183838,102.09,-0.07513457536697388,0.8224025219678879,323,1933312,5.054379463195801,5972,0.00016149760000000002,235,236
0.1459326595067978,0.19560512,-0.5130487680435181,101.78,-0.07383149117231369,0.8693523406982422,323,1966080,5.471074104309082,6071,0.00016084224,239,240
0.1743074506521225,0.19469853866666667,-0.5116145610809326,94.75,-0.07081066071987152,0.849205732345581,323,1998848,5.6008148193359375,6172,0.00016018688,243,244
0.15168246626853943,0.19379195733333332,-0.502011775970459,96.75,-0.06657709926366806,0.8551912158727646,323,2031616,5.349127769470215,6271,0.00015953152,247,248
0.1547051966190338,0.192885376,-0.49315932393074036,97.02,-0.06578083336353302,0.8374851644039154,323,2064384,5.5398335456848145,6372,0.00015887616,251,252
0.15260960161685944,0.19197879466666667,-0.5107420086860657,93.39,-0.07216113805770874,0.853160634636879,323,2097152,5.381796360015869,6474,0.00015822080000000001,255,256
0.13993477821350098,0.19107221333333335,-0.5195594429969788,104.03,-0.07298610359430313,0.8671764731407166,323,2129920,5.2406325340271,6574,0.00015756544000000003,259,260
0.16202794015407562,0.190165632,-0.49920710921287537,107.9,-0.08526067435741425,0.8534086644649506,324,2162688,5.299994468688965,6672,0.00015691008000000002,263,264
0.12621648609638214,0.18925905066666668,-0.4847787618637085,103.51,-0.07625679671764374,0.8855277523398399,324,2195456,5.905566215515137,6773,0.00015625472,267,268
0.19528159499168396,0.18835246933333333,-0.4764414131641388,101.56,-0.05254042148590088,0.8340504169464111,324,2228224,5.671606540679932,6875,0.00015559936,271,272
0.1369660198688507,0.187445888,-0.484058678150177,96.4,-0.0669000968337059,0.8709108829498291,324,2260992,5.944314479827881,6975,0.000154944,275,276
0.1481204628944397,0.18653930666666668,-0.49325472116470337,95.56,-0.07988081127405167,0.851422905921936,324,2293760,6.100967884063721,7077,0.00015428864,279,280
