time/fps,train/policy_loss,train/value_loss,train/learning_rate,time/total_timesteps,train/n_updates,train/ent_coef,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance
235,-0.029697854071855545,0.31568247079849243,0.000184959488,229376,27,0.227979904,28,99.97,3.8834283351898193,972,-0.32556474208831787,0.7157261073589325
234,-0.027534961700439453,0.28621023893356323,0.00018384537600000001,245760,29,0.22640704,30,87.55,3.795947790145874,1046,-0.3209710121154785,0.7439730167388916
234,-0.02424689754843712,0.310896098613739,0.000182731264,262144,31,0.224834176,32,84.61,3.6696548461914062,1118,-0.3136664032936096,0.7183017134666443
234,-0.03328779339790344,0.28787362575531006,0.000181617152,278528,33,0.223261312,34,88.69,4.1210246086120605,1185,-0.313753604888916,0.7464837729930878
235,-0.036136444658041,0.27484530210494995,0.00018050304000000002,294912,35,0.221688448,36,94.78,4.044870853424072,1251,-0.3142155408859253,0.7727931886911392
234,-0.043784525245428085,0.2667495608329773,0.000179388928,311296,37,0.220115584,38,88.65,3.983020067214966,1330,-0.3136008381843567,0.7899615317583084
233,-0.028649255633354187,0.30621522665023804,0.000178274816,327680,39,0.21854272,40,83.82,3.976287841796875,1403,-0.30088135600090027,0.7686916887760162
231,-0.03254907578229904,0.24148690700531006,0.00017716070400000002,344064,41,0.21696985600000002,42,89.61,3.9617998600006104,1483,-0.30734890699386597,0.8116422444581985
231,-0.03922225162386894,0.23456931114196777,0.000176046592,360448,43,0.215396992,44,88.38,4.372398376464844,1556,-0.3050978183746338,0.8272933214902878
232,-0.04709753021597862,0.21494537591934204,0.00017493248,376832,45,0.213824128,46,93.09,4.1814446449279785,1624,-0.31252628564834595,0.8405417799949646
232,-0.041332997381687164,0.2107546031475067,0.000173818368,393216,47,0.212251264,48,88.18,4.604465961456299,1689,-0.30521541833877563,0.8390598148107529
233,-0.04838409274816513,0.23592469096183777,0.000172704256,409600,49,0.2106784,50,87.9,4.722428798675537,1752,-0.30844753980636597,0.8277649432420731
235,-0.03993205353617668,0.2322741150856018,0.000171590144,425984,51,0.209105536,52,88.34,4.392840385437012,1807,-0.30632972717285156,0.8314595818519592
235,-0.036291830241680145,0.3011842966079712,0.000170476032,442368,53,0.207532672,54,85.47,4.355836391448975,1875,-0.30537450313568115,0.8147636204957962
