time/total_timesteps,time/fps,train/n_updates,train/policy_loss,time/iterations,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,time/time_elapsed
239616,346,155,0.10956157743930817,156,0.6874948740005493,0.33344194293022156,158.56,0.05447296000000001,-33.04352569580078,0.000128576,-0.8807594180107117,691
245760,346,159,0.10366597026586533,160,0.3942551016807556,0.4204535484313965,173.3,0.0533056,-35.60542297363281,0.0001267328,-0.894917368888855,709
251904,346,163,0.11212338507175446,164,0.6817522346973419,0.25150519609451294,159.31,0.05213824,-32.38182067871094,0.0001248896,-0.8625369071960449,727
258048,346,167,0.06331972777843475,168,0.7437634468078613,0.32312241196632385,166.67,0.05097088,-34.00404357910156,0.0001230464,-0.8988646268844604,745
264192,346,171,0.08013366162776947,172,0.7954404652118683,0.3278915286064148,145.14,0.04980352000000001,-29.897705078125,0.0001212032,-0.866256594657898,763
270336,346,175,0.08947353065013885,176,0.8098804801702499,0.2412954568862915,144.52,0.04863616,-30.00165557861328,0.00011936000000000002,-0.8809108138084412,781
276480,346,179,0.08621333539485931,180,0.6800098121166229,0.24900631606578827,168.44,0.047468800000000005,-35.177364349365234,0.00011751679999999999,-0.8999441862106323,798
282624,346,183,0.07463880628347397,184,0.61217001080513,0.32218730449676514,190.74,0.046301440000000006,-39.514469146728516,0.00011567360000000002,-0.8843927383422852,816
288768,345,187,0.08389361947774887,188,0.6899442672729492,0.27093276381492615,123.06,0.04513408,-25.550893783569336,0.00011383040000000001,-0.9180307388305664,835
294912,344,191,0.10219937562942505,192,0.7166534960269928,0.26212289929389954,95.39,0.04396672,-20.042648315429688,0.00011198720000000001,-0.9015471339225769,854
301056,344,195,0.07943227887153625,196,0.7138438522815704,0.31995368003845215,120.97,0.04279936000000001,-25.546398162841797,0.00011014400000000001,-0.8827419281005859,873
307200,344,199,0.04574088007211685,200,0.5000270009040833,0.4089418351650238,146.17,0.04163200000000001,-30.625307083129883,0.0001083008,-0.8926889300346375,891
313344,344,203,0.09740865230560303,204,0.6408543884754181,0.32849371433258057,188.02,0.04046464,-39.29166030883789,0.00010645760000000002,-0.8978535532951355,909
319488,344,207,0.10264940559864044,208,0.6451859176158905,0.25452589988708496,213.28,0.039297280000000004,-44.8163948059082,0.0001046144,-0.9074574708938599,926
325632,344,211,0.12773819267749786,212,0.7826031595468521,0.2975604236125946,186.74,0.03812992000000001,-38.86687088012695,0.00010277120000000001,-0.8668854236602783,944
331776,344,215,0.06235836073756218,216,0.6753994524478912,0.22416017949581146,182.38,0.036962560000000005,-38.064151763916016,0.00010092800000000002,-0.9096063375473022,962
337920,344,219,0.060131411999464035,220,0.7717823684215546,0.37313932180404663,162.08,0.0357952,-33.23633575439453,9.90848e-05,-0.8975595235824585,980
344064,344,223,0.08891939371824265,224,0.8178495913743973,0.24618391692638397,169.26,0.03462784000000001,-34.65160369873047,9.724160000000001e-05,-0.8952245712280273,997
350208,344,227,0.08476649224758148,228,0.7099120318889618,0.2891033887863159,167.67,0.03346048,-34.942230224609375,9.539840000000001e-05,-0.892129123210907,1015
356352,344,231,0.06419096887111664,232,0.6535522043704987,0.3909551501274109,192.11,0.03229312000000001,-39.80666732788086,9.355520000000001e-05,-0.9173420667648315,1032
362496,345,235,0.08068343997001648,236,0.6894497871398926,0.25218063592910767,129.38,0.031125760000000002,-26.763954162597656,9.1712e-05,-0.9060084223747253,1050
368640,345,239,0.0926128551363945,240,0.7399907410144806,0.3680482804775238,115.08,0.029958399999999996,-23.720474243164062,8.98688e-05,-0.8823450803756714,1068
374784,345,243,0.077047199010849,244,0.7347978949546814,0.28571170568466187,149.01,0.028791040000000004,-31.103591918945312,8.80256e-05,-0.8727445602416992,1086
380928,344,247,0.09796516597270966,248,0.7255730628967285,0.26267290115356445,167.17,0.02762368000000001,-34.88496017456055,8.61824e-05,-0.8800853490829468,1104
387072,344,251,0.07809588313102722,252,0.7834265232086182,0.197105273604393,199.6,0.026456320000000005,-42.277103424072266,8.433920000000001e-05,-0.859310507774353,1122
393216,344,255,0.09323680400848389,256,0.731492280960083,0.2935976982116699,172.41,0.02528896,-36.053749084472656,8.249600000000002e-05,-0.8929556608200073,1139
399360,345,259,0.08630813658237457,260,0.703480064868927,0.24337303638458252,158.36,0.024121600000000007,-33.32109451293945,8.06528e-05,-0.9070214033126831,1157
405504,344,263,0.08856022357940674,264,0.616479218006134,0.38484010100364685,153.19,0.022954240000000015,-31.938657760620117,7.880960000000001e-05,-0.8957630395889282,1175
411648,344,267,0.052190642803907394,268,0.7841738164424896,0.4318082332611084,160.65,0.02178688000000001,-33.791263580322266,7.696640000000001e-05,-0.9023103713989258,1194
417792,344,271,0.09561638534069061,272,0.7003871500492096,0.290336012840271,136.75,0.020619520000000002,-28.643701553344727,7.51232e-05,-0.9060987234115601,1213
423936,344,275,0.05525976046919823,276,0.7492895126342773,0.24290668964385986,140.81,0.01945216000000001,-29.448450088500977,7.328e-05,-0.9052084684371948,1232
430080,343,279,0.08188903331756592,280,0.6934102773666382,0.27726584672927856,158.69,0.018284800000000004,-32.89264678955078,7.143680000000001e-05,-0.9051344394683838,1250
436224,343,283,0.10761674493551254,284,0.5858697593212128,0.34687817096710205,171.72,0.017117439999999998,-35.80409622192383,6.95936e-05,-0.8759207725524902,1268
442368,343,287,0.10300622880458832,288,0.6504528522491455,0.20691511034965515,180.33,0.015950080000000005,-37.855403900146484,6.775040000000001e-05,-0.8852410316467285,1286
448512,344,291,0.06075152009725571,292,0.6464085876941681,0.3942345976829529,185.0,0.01478272,-39.42611312866211,6.59072e-05,-0.8688492774963379,1303
454656,343,295,0.05714113637804985,296,0.7906128466129303,0.2936435639858246,171.99,0.013615360000000007,-36.23128128051758,6.4064e-05,-0.8638162612915039,1322
460800,343,299,0.08479057997465134,300,0.7286951839923859,0.37166088819503784,154.34,0.012448,-32.02360916137695,6.22208e-05,-0.910222053527832,1340
466944,343,303,0.04712524637579918,304,0.584286242723465,0.2753337025642395,148.53,0.011280639999999995,-30.21951675415039,6.037760000000001e-05,-0.9034713506698608,1358
473088,343,307,0.09568479657173157,308,0.6812359988689423,0.3129297196865082,127.41,0.010113280000000002,-25.837383270263672,5.853439999999999e-05,-0.9065601229667664,1376
479232,343,311,0.07440382242202759,312,0.7682129889726639,0.221623033285141,124.26,0.00894592000000001,-25.437049865722656,5.6691200000000004e-05,-0.8906030654907227,1394
485376,343,315,0.08060865104198456,316,0.46477895975112915,0.35582587122917175,131.5,0.007778560000000004,-27.369924545288086,5.484800000000001e-05,-0.8805410265922546,1412
491520,343,319,0.07595553994178772,320,0.7847572714090347,0.2646711468696594,148.51,0.006611199999999998,-30.852136611938477,5.300480000000001e-05,-0.9079005122184753,1430
497664,343,323,0.05798153206706047,324,0.7588762044906616,0.16643619537353516,140.71,0.005443840000000005,-29.012022018432617,5.11616e-05,-0.9079289436340332,1448
