train/value_loss,train/policy_loss,rollout/ep_len_mean,time/fps,time/iterations,train/learning_rate,train/ent_coef,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/n_updates,rollout/ep_rew_mean,train/explained_variance
0.21822302043437958,0.026727933436632156,326.02,172,420,0.00016138496000000002,0.37226623999999997,1290240,7466,-0.38309043645858765,419,-10.399932861328125,0.10334897041320801
0.27795568108558655,0.014630094170570374,329.77,172,440,0.00015954176000000002,0.36618368,1351680,7823,-0.38434848189353943,439,-8.896732330322266,-0.27955591678619385
0.25501036643981934,0.005474555771797895,300.21,172,460,0.00015769856,0.36010112,1413120,8179,-0.39178842306137085,459,-7.606959819793701,0.13273680210113525
0.2229282110929489,0.025688854977488518,335.32,172,480,0.00015585536000000002,0.35401856,1474560,8533,-0.38217243552207947,479,-9.95097541809082,0.17893439531326294
0.2643687129020691,0.00045884339488111436,351.9,172,500,0.00015401216,0.347936,1536000,8890,-0.3882823586463928,499,-12.265876770019531,0.03373020887374878
0.26978206634521484,0.003455629339441657,327.12,172,520,0.00015216896,0.34185344,1597440,9244,-0.39270830154418945,519,-10.197854995727539,-0.20558404922485352
0.2332134246826172,0.024250051006674767,344.27,172,540,0.00015032576,0.33577088,1658880,9600,-0.39062023162841797,539,-11.221990585327148,-0.09060966968536377
0.26253756880760193,0.010251903906464577,339.09,172,560,0.00014848256,0.32968832000000003,1720320,9957,-0.3911592364311218,559,-10.236581802368164,-0.20982325077056885
0.23089545965194702,0.016223978251218796,366.3,172,580,0.00014663936,0.32360575999999996,1781760,10315,-0.3902246952056885,579,-11.313424110412598,-0.13970541954040527
0.25360816717147827,0.0030998303554952145,324.05,172,600,0.00014479616000000003,0.3175232,1843200,10670,-0.3851854205131531,599,-10.031172752380371,0.1565820574760437
0.21816885471343994,0.014895784668624401,373.3,172,620,0.00014295296,0.31144064000000005,1904640,11026,-0.39676743745803833,619,-13.822343826293945,0.1257396936416626
0.24529528617858887,0.018504615873098373,377.81,172,640,0.00014110976000000002,0.30535808,1966080,11381,-0.38342952728271484,639,-13.007767677307129,0.14978080987930298
0.19383487105369568,0.02486169897019863,348.62,172,660,0.00013926656000000002,0.29927552,2027520,11736,-0.390378475189209,659,-11.784992218017578,0.29503506422042847
0.22562704980373383,-0.0063930898904800415,347.04,172,680,0.00013742336000000001,0.29319296,2088960,12093,-0.39466580748558044,679,-9.821167945861816,0.009496867656707764
0.26945969462394714,0.006700353231281042,338.69,172,700,0.00013558016,0.2871104,2150400,12448,-0.3967774510383606,699,-10.661142349243164,-0.2955360412597656
0.26537251472473145,0.014224431477487087,329.58,172,720,0.00013373696,0.28102784000000003,2211840,12802,-0.38504093885421753,719,-9.428465843200684,0.1164054274559021
0.2255098819732666,0.01509703230112791,355.17,172,740,0.00013189376,0.27494527999999996,2273280,13157,-0.3885747790336609,739,-13.894721984863281,-0.08882832527160645
0.23247766494750977,0.024427926167845726,326.96,172,760,0.00013005056,0.26886272,2334720,13511,-0.3903989791870117,759,-10.21469497680664,0.09885662794113159
0.22795723378658295,0.02256765589118004,338.23,172,780,0.00012820736000000003,0.26278016000000004,2396160,13864,-0.3793036937713623,779,-11.439348220825195,-0.08852052688598633
