train/n_updates,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/policy_loss,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/ent_coef,time/total_timesteps,time/fps,time/iterations
10399,42.68,2.146324872970581,0.0004,-0.006472751032561064,4695,-0.17982590198516846,2.830631971359253,0.0007791519165039062,0.8083072,1996800,425,10400
10499,42.44,2.7143173217773438,0.0004,-0.011590510606765747,4741,-0.14492547512054443,3.405410051345825,-8.356571197509766e-05,0.8064640000000001,2016000,425,10500
10599,31.59,5.5002360343933105,0.0004,0.011793444864451885,4786,-0.16149793565273285,2.822084903717041,-9.071826934814453e-05,0.8046208,2035200,425,10600
10699,56.77,1.2627265453338623,0.0004,-0.024514762684702873,4832,-0.17149174213409424,4.302731513977051,0.0009121894836425781,0.8027776,2054400,425,10700
10799,30.37,2.6428303718566895,0.0004,0.013870248571038246,4877,-0.1379241645336151,3.070770025253296,-0.00038051605224609375,0.8009344,2073600,425,10800
10899,42.72,3.936570644378662,0.0004,-0.19110220670700073,4920,-0.16661125421524048,4.069967746734619,0.000496983528137207,0.7990912,2092800,425,10900
10999,65.76,0.3123539686203003,0.0004,-0.0016061477363109589,4966,-0.152671217918396,4.652650356292725,0.002794981002807617,0.797248,2112000,425,11000
11099,66.49,0.3396230936050415,0.0004,-0.03167831152677536,5010,-0.15275982022285461,3.8653290271759033,0.002575993537902832,0.7954048,2131200,425,11100
11199,42.47,1.6316592693328857,0.0004,-0.12119549512863159,5056,-0.13786906003952026,3.6814920902252197,0.0008678436279296875,0.7935616,2150400,425,11200
11299,65.49,1.892019510269165,0.0004,-0.018361665308475494,5102,-0.1653793305158615,4.502519607543945,0.0002880096435546875,0.7917184,2169600,425,11300
11399,42.5,2.1663572788238525,0.0004,0.018744265660643578,5147,-0.15315255522727966,4.470432758331299,0.001064300537109375,0.7898752,2188800,425,11400
11499,20.32,1.9058091640472412,0.0004,-0.006042490713298321,5193,-0.15965233743190765,2.45986270904541,0.0012385845184326172,0.7880320000000001,2208000,425,11500
11599,31.76,0.16900412738323212,0.0004,-0.0012685380643233657,5237,-0.14257186651229858,2.6857943534851074,0.0013607144355773926,0.7861888,2227200,425,11600
11699,41.37,2.952162504196167,0.0004,-0.023577585816383362,5281,-0.15364184975624084,4.617191314697266,-9.119510650634766e-05,0.7843456,2246400,425,11700
11799,30.65,0.8219138383865356,0.0004,0.010230527259409428,5327,-0.1611943244934082,3.286750555038452,0.0011012554168701172,0.7825024,2265600,425,11800
11899,54.4,3.91526460647583,0.0004,-0.004541345871984959,5370,-0.16919517517089844,3.6677465438842773,0.00011348724365234375,0.7806592,2284800,425,11900
11999,19.04,5.943857192993164,0.0004,0.013110799714922905,5414,-0.15771803259849548,2.4783010482788086,0.0006927251815795898,0.778816,2304000,425,12000
12099,54.18,1.1747393608093262,0.0004,-0.046777211129665375,5462,-0.17219114303588867,4.109267234802246,0.0012361407279968262,0.7769728,2323200,425,12100
